类别,所属域,太阁原词,例句,我们侧名,值类型,语义,参数,备注,频率
域值,勢力,海賊衆Ｃ,調查:(海賊衆::海賊衆Ａ.外交同盟(勢力::海賊衆Ｃ))==(0),Ctx::pirate_C,对象:组织,海賊衆Ｃ,—,✅ 引擎,13
域值,勢力,海賊衆Ｄ,調查:(海賊衆::海賊衆Ａ.外交同盟(勢力::海賊衆Ｄ))==(0),Ctx::pirate_D,对象:组织,海賊衆Ｄ,—,✅ 引擎,3
域值,勢力,無效,更新:(人物::人物Ｂ.所屬勢力)(勢力::無效),null,空,無效,—,✅ 引擎,5
域值,卡,卡Ａ,代入卡Ａ:(卡::松島)+(變量::ｉ),Ctx::card_A,对象:卡,卡Ａ,—,✅ 引擎,3
域值,商家,商家Ａ,代入商家Ａ:(人物::主人公.所屬商家),Ctx::merchant_A,对象:组织,商家Ａ,—,🔴 需新加（数据包（07 核对））,39
域值,商家,商家Ｂ,代入商家Ｂ:(人物::主人公.所屬商家),Ctx::merchant_B,对象:组织,商家Ｂ,—,🔴 需新加（数据包（07 核对））,3
域值,商家,商家Ｃ,"容器選擇:(商家Ｃ,先頭)",Ctx::merchant_C,对象:组织,商家Ｃ,—,🔴 需新加（数据包（07 核对））,3
域值,商家,商家Ｄ,"容器選擇:(商家Ｄ,先頭)",Ctx::merchant_D,对象:组织,商家Ｄ,—,🔴 需新加（数据包（07 核对））,2
域值,國,國Ａ,調查:(據點::發生據點.所屬國)==(國::國Ａ),Ctx::region_A,对象:区域,國Ａ,—,✅ 引擎,12
域值,國,國Ｃ,調查:(國::國Ｃ)==(國::駿河),Ctx::region_C,对象:区域,國Ｃ,—,✅ 引擎,21
域值,地方,地方Ａ,調查:(地方::地方Ａ)==(地方::地方Ｂ),Ctx::area_A,对象:区域,地方Ａ,—,✅ 引擎,37
域值,地方,地方Ｂ,調查:(地方::地方Ａ)==(地方::地方Ｂ),Ctx::area_B,对象:区域,地方Ｂ,—,✅ 引擎,33
域值,城,城Ａ,調查:(城::城Ａ)!=(城::三木),Ctx::settlement_A,对象:据点,城Ａ,—,✅ 引擎,2669
域值,城,城Ｂ,調查:(城::城Ｂ)==(城::小田原),Ctx::settlement_B,对象:据点,城Ｂ,—,✅ 引擎,1269
域值,城,城Ｃ,調查:(城::城Ａ.移動可能(城::城Ｃ))==(真偽::真),Ctx::settlement_C,对象:据点,城Ｃ,—,✅ 引擎,1095
域值,城,城Ｄ,調查:(城::城Ａ)!=(城::城Ｄ),Ctx::settlement_D,对象:据点,城Ｄ,—,✅ 引擎,645
域值,城,城Ｅ,調查:(大名家::大名家Ｂ.本城)!=(城::城Ｅ),Ctx::settlement_E,对象:据点,城Ｅ,—,✅ 引擎,189
域值,城,無效,代入城Ａ:(城::無效),null,空,無效,—,✅ 引擎,59
域值,場面,主人公茶室,調查:(場面::發生設施)==(場面::主人公茶室),Facility::tk5_u081b71,对象:设施,主人公茶室,—,✅ 引擎,2
域值,場面,主人公診療所,調查:(場面::發生設施)==(場面::主人公診療所),Facility::tk5_u7edfb3,对象:设施,主人公診療所,—,✅ 引擎,2
域值,場面,主人公道場,調查:(場面::發生設施)==(場面::主人公道場),Facility::tk5_udf3594,对象:设施,主人公道場,—,✅ 引擎,2
域值,場面,主人公鍛冶屋,調查:(場面::發生設施)==(場面::主人公鍛冶屋),Facility::tk5_ue023d9,对象:设施,主人公鍛冶屋,—,✅ 引擎,2
域值,場面,城主間,調查:(場面::發生設施)==(場面::城主間),Facility::lord_room,对象:设施,城主間,—,✅ 引擎,1
域值,場面,忍屋敷,調查:(場面::發生設施)==(場面::忍屋敷),Facility::tk5_u36d2cc,对象:设施,忍屋敷,—,✅ 引擎,1
域值,場面,忍者宅,調查:(場面::發生設施)==(場面::忍者宅),Facility::tk5_ua1196e,对象:设施,忍者宅,—,✅ 引擎,2
域值,場面,據點內畫面,調查:(狀況::場面)==(場面::據點內畫面),Facility::tk5_ue4b242,对象:设施,據點內畫面,—,✅ 引擎,1
域值,場面,武家宅,調查:(場面::發生設施)==(場面::武家宅),Facility::tk5_u617435,对象:设施,武家宅,—,✅ 引擎,1
域值,場面,民家,調查:(場面::發生設施)==(場面::民家),Facility::tk5_u380204,对象:设施,民家,—,✅ 引擎,1
域值,場面,海賊宅,調查:(場面::發生設施)==(場面::海賊宅),Facility::pirate_den,对象:设施,海賊宅,—,✅ 引擎,3
域值,場面,海賊屋敷,調查:(場面::發生設施)==(場面::海賊屋敷),Facility::tk5_udfd835,对象:设施,海賊屋敷,—,✅ 引擎,1
域值,場面,發生設施,調查:(場面::發生設施)==(場面::海賊宅),Facility::event_facility,对象:设施,發生設施,—,✅ 引擎,16
域值,場面,自宅,調查:(狀況::場面)==(場面::自宅),Facility::home,对象:设施,自宅,—,✅ 引擎,8
域值,大名家,大名家Ａ,調查:(人物::主人公.兵法指南役大名家)==(大名家::大名家Ａ),Ctx::clan_A,对象:家族,大名家Ａ,—,✅ 引擎,4553
域值,大名家,大名家Ｂ,調查:(人物::主人公.所屬大名家)==(大名家::大名家Ｂ),Ctx::clan_B,对象:家族,大名家Ｂ,—,✅ 引擎,2520
域值,大名家,大名家Ｃ,調查:(人物::結城秀康.所屬大名家)==(大名家::大名家Ｃ),Ctx::clan_C,对象:家族,大名家Ｃ,—,✅ 引擎,1157
域值,大名家,大名家Ｄ,調查:(城::城Ｄ.所屬大名家)==(大名家::大名家Ｄ),Ctx::clan_D,对象:家族,大名家Ｄ,—,✅ 引擎,507
域值,大名家,大名家Ｅ,調查:(城::清洲.所屬大名家)==(大名家::大名家Ｅ),Ctx::clan_E,对象:家族,大名家Ｅ,—,✅ 引擎,258
域值,大名家,無效,調查:(人物::主人公.兵法指南役大名家)!=(大名家::無效),null,空,無效,—,✅ 引擎,78
域值,天氣,晴,更新:(狀況::天氣)(天氣::晴),weather_clear,枚举:天氣,晴,—,✅ 引擎,17
域值,天氣,雨,更新:(狀況::天氣)(天氣::雨),weather_rain,枚举:天氣,雨,—,✅ 引擎,10
域值,天氣,雲,更新:(狀況::天氣)(天氣::雲),weather_cloudy,枚举:天氣,雲,—,✅ 引擎,20
域值,官位,無效,調查:(人物::豐臣秀吉.官位)==(官位::無效),null,空,無效,—,✅ 引擎,39
域值,官職,無效,更新:(人物::主人公.官職)(官職::無效),null,空,無效,—,✅ 引擎,2
域值,忍者衆,忍者衆Ａ,調查:(忍者衆::忍者衆Ａ)==(忍者衆::伊賀衆),Ctx::ninja_A,对象:组织,忍者衆Ａ,—,🔴 需新加（数据包（07 核对））,198
域值,忍者衆,忍者衆Ｂ,代入忍者衆Ｂ:(人物::人物Ｃ.所屬忍者衆),Ctx::ninja_B,对象:组织,忍者衆Ｂ,—,🔴 需新加（数据包（07 核对））,25
域值,忍者衆,忍者衆Ｃ,代入忍者衆Ｃ:(忍者衆::外聞衆),Ctx::ninja_C,对象:组织,忍者衆Ｃ,—,🔴 需新加（数据包（07 核对））,5
域值,忍者衆,忍者衆Ｄ,"容器選擇:(忍者衆Ｄ,先頭)",Ctx::ninja_D,对象:组织,忍者衆Ｄ,—,🔴 需新加（数据包（07 核对））,2
域值,忍者衆,無效,更新:(人物::人物Ｂ.所屬忍者衆)(忍者衆::無效),null,空,無效,—,🔴 需新加（数据包（07 核对））,3
域值,戰鬥結束種類,終結,調查:(狀況::24)==(戰鬥結束種類::終結),ended,枚举:戰鬥結束種類,終結,—,🔴 需新加（03 战果）,7
域值,據點,主人公據點,調查:(人物::本多正信.所屬據點)==(據點::主人公據點),Hero::MainHero.settlement,对象:据点,主人公據點,—,✅ 引擎,589
域值,據點,主人公當主據點,調查:(據點::主人公據點)!=(據點::主人公當主據點),Hero::MainHero.home,对象:据点,主人公當主據點,—,✅ 引擎,442
域值,據點,城Ａ,代入城Ａ:(大名家::大名家Ａ.本城),Ctx::settlement_A,对象:据点,城Ａ,—,✅ 引擎,96
域值,據點,城Ｂ,代入據點Ｂ:(據點::城Ｂ),Ctx::settlement_B,对象:据点,城Ｂ,—,✅ 引擎,28
域值,據點,城Ｃ,代入城Ｃ:(人物::主人公.所屬據點),Ctx::settlement_C,对象:据点,城Ｃ,—,✅ 引擎,2
域值,據點,據點Ａ,代入城Ａ:(據點::據點Ａ),Ctx::place_A,对象:据点,據點Ａ,—,✅ 引擎,183
域值,據點,據點Ｂ,調查:(據點::據點Ａ)==(據點::據點Ｂ),Ctx::place_B,对象:据点,據點Ｂ,—,✅ 引擎,75
域值,據點,據點Ｃ,代入城Ｃ:(據點::據點Ｃ),Ctx::place_C,对象:据点,據點Ｃ,—,✅ 引擎,18
域值,據點,據點Ｄ,調查:(人物::豐臣秀吉.所屬據點)==(據點::據點Ｄ),Ctx::place_D,对象:据点,據點Ｄ,—,✅ 引擎,15
域值,據點,據點Ｅ,代入城Ｅ:(據點::據點Ｅ),Ctx::place_E,对象:据点,據點Ｅ,—,✅ 引擎,7
域值,據點,發生據點,調查:(據點::發生據點)!=(據點::釜山之町),Ctx::event_settlement,对象:据点,發生據點,—,✅ 引擎,1150
域值,日數計數器,10,更新:(日數計數器::10)(0),Time::day,数字,10,—,✅ 引擎,6
域值,日數計數器,11,更新:(日數計數器::11)(0),Time::day,数字,11,—,✅ 引擎,2
域值,日數計數器,12,更新:(日數計數器::12)(2097152),Time::day,数字,12,—,✅ 引擎,13
域值,日數計數器,13,更新:(日數計數器::13)(0),Time::day,数字,13,—,✅ 引擎,5
域值,日數計數器,14,調查:(日數計數器::14)>=(5),Time::day,数字,14,—,✅ 引擎,2
域值,日數計數器,15,調查:(日數計數器::15)>=(30),Time::day,数字,15,—,✅ 引擎,3
域值,日數計數器,16,更新:(日數計數器::16)(0),Time::day,数字,16,—,✅ 引擎,2
域值,日數計數器,17,更新:(日數計數器::17)(0),Time::day,数字,17,—,✅ 引擎,10
域值,日數計數器,18,更新:(日數計數器::18)(0),Time::day,数字,18,—,✅ 引擎,5
域值,日數計數器,19,更新:(日數計數器::19)(0),Time::day,数字,19,—,✅ 引擎,18
域值,日數計數器,20,調查:(日數計數器::20)>=(5),Time::day,数字,20,—,✅ 引擎,9
域值,日數計數器,21,更新:(日數計數器::21)(0),Time::day,数字,21,—,✅ 引擎,8
域值,日數計數器,22,更新:(日數計數器::22)(0),Time::day,数字,22,—,✅ 引擎,10
域值,日數計數器,23,調查:(日數計數器::23)>(30),Time::day,数字,23,—,✅ 引擎,9
域值,日數計數器,24,調查:(日數計數器::24)>=(5),Time::day,数字,24,—,✅ 引擎,39
域值,日數計數器,25,更新:(日數計數器::25)(0),Time::day,数字,25,—,✅ 引擎,5
域值,日數計數器,26,調查:(日數計數器::26)>=(10),Time::day,数字,26,—,✅ 引擎,25
域值,日數計數器,27,更新:(日數計數器::27)(0),Time::day,数字,27,—,✅ 引擎,10
域值,日數計數器,28,更新:(日數計數器::28)(0),Time::day,数字,28,—,✅ 引擎,10
域值,日數計數器,29,更新:(日數計數器::29)(0),Time::day,数字,29,—,✅ 引擎,5
域值,日數計數器,3,更新:(日數計數器::3)(0),Time::day,数字,3,—,✅ 引擎,2
域值,日數計數器,30,調查:(日數計數器::30)>=(20),Time::day,数字,30,—,✅ 引擎,8
域值,日數計數器,31,調查:(日數計數器::31)>=(20),Time::day,数字,31,—,✅ 引擎,2
域值,日數計數器,32,更新:(日數計數器::32)(0),Time::day,数字,32,—,✅ 引擎,7
域值,日數計數器,33,更新:(日數計數器::33)(0),Time::day,数字,33,—,✅ 引擎,4
域值,日數計數器,34,更新:(日數計數器::34)(0),Time::day,数字,34,—,✅ 引擎,2
域值,日數計數器,35,調查:(日數計數器::35)<(60),Time::day,数字,35,—,✅ 引擎,5
域值,日數計數器,36,更新:(日數計數器::36)(0),Time::day,数字,36,—,✅ 引擎,18
域值,日數計數器,37,更新:(日數計數器::37)(0),Time::day,数字,37,—,✅ 引擎,15
域值,日數計數器,38,更新:(日數計數器::38)(0),Time::day,数字,38,—,✅ 引擎,5
域值,日數計數器,39,更新:(日數計數器::39)(0),Time::day,数字,39,—,✅ 引擎,21
域值,日數計數器,40,更新:(日數計數器::40)(0),Time::day,数字,40,—,✅ 引擎,4
域值,日數計數器,41,更新:(日數計數器::41)(1048576),Time::day,数字,41,—,✅ 引擎,8
域值,日數計數器,42,更新:(日數計數器::42)(0),Time::day,数字,42,—,✅ 引擎,6
域值,日數計數器,43,更新:(日數計數器::43)(0),Time::day,数字,43,—,✅ 引擎,3
域值,日數計數器,44,更新:(日數計數器::44)(2097152),Time::day,数字,44,—,✅ 引擎,28
域值,日數計數器,45,更新:(日數計數器::45)(0),Time::day,数字,45,—,✅ 引擎,12
域值,日數計數器,46,更新:(日數計數器::46)(3145728),Time::day,数字,46,—,✅ 引擎,7
域值,日數計數器,47,調查:(日數計數器::47)>=(10),Time::day,数字,47,—,✅ 引擎,9
域值,日數計數器,48,更新:(日數計數器::48)(2097152),Time::day,数字,48,—,✅ 引擎,3
域值,日數計數器,49,更新:(日數計數器::49)(0),Time::day,数字,49,—,✅ 引擎,2
域值,日數計數器,5,更新:(日數計數器::5)(0),Time::day,数字,5,—,✅ 引擎,55
域值,日數計數器,50,更新:(日數計數器::50)(0),Time::day,数字,50,—,✅ 引擎,3
域值,日數計數器,51,更新:(日數計數器::51)(0),Time::day,数字,51,—,✅ 引擎,3
域值,日數計數器,52,調查:(日數計數器::52)>=(10),Time::day,数字,52,—,✅ 引擎,4
域值,日數計數器,53,更新:(日數計數器::53)(1048576),Time::day,数字,53,—,✅ 引擎,11
域值,日數計數器,54,調查:(日數計數器::54)>=(40),Time::day,数字,54,—,✅ 引擎,3
域值,日數計數器,55,更新:(日數計數器::55)(0),Time::day,数字,55,—,✅ 引擎,200
域值,日數計數器,56,更新:(日數計數器::56)(0),Time::day,数字,56,—,✅ 引擎,3
域值,日數計數器,57,更新:(日數計數器::57)(0),Time::day,数字,57,—,✅ 引擎,2
域值,日數計數器,58,更新:(日數計數器::58)(0),Time::day,数字,58,—,✅ 引擎,6
域值,日數計數器,59,調查:(日數計數器::59)>=(5),Time::day,数字,59,—,✅ 引擎,8
域值,日數計數器,6,更新:(日數計數器::6)(0),Time::day,数字,6,—,✅ 引擎,28
域值,日數計數器,60,更新:(日數計數器::60)(2097152),Time::day,数字,60,—,✅ 引擎,3
域值,日數計數器,61,調查:(日數計數器::61)>(90),Time::day,数字,61,—,✅ 引擎,2
域值,日數計數器,62,更新:(日數計數器::62)(2097152),Time::day,数字,62,—,✅ 引擎,7
域值,日數計數器,63,更新:(日數計數器::63)(0),Time::day,数字,63,—,✅ 引擎,6
域值,日數計數器,64,調查:(日數計數器::64)>=(200),Time::day,数字,64,—,✅ 引擎,34
域值,日數計數器,65,調查:(日數計數器::65)>=(80),Time::day,数字,65,—,✅ 引擎,7
域值,日數計數器,66,更新:(日數計數器::66)(0),Time::day,数字,66,—,✅ 引擎,3
域值,日數計數器,67,調查:(日數計數器::67)>=(200),Time::day,数字,67,—,✅ 引擎,10
域值,日數計數器,68,更新:(日數計數器::68)(0),Time::day,数字,68,—,✅ 引擎,8
域值,日數計數器,69,調查:(日數計數器::69)>=(5),Time::day,数字,69,—,✅ 引擎,5
域值,日數計數器,7,更新:(日數計數器::7)(0),Time::day,数字,7,—,✅ 引擎,23
域值,日數計數器,70,調查:(日數計數器::70)>=(180),Time::day,数字,70,—,✅ 引擎,8
域值,日數計數器,71,調查:(日數計數器::71)>=(100),Time::day,数字,71,—,✅ 引擎,4
域值,日數計數器,72,調查:(日數計數器::72)>=(60),Time::day,数字,72,—,✅ 引擎,10
域值,日數計數器,73,更新:(日數計數器::73)(0),Time::day,数字,73,—,✅ 引擎,10
域值,日數計數器,74,更新:(日數計數器::74)(0),Time::day,数字,74,—,✅ 引擎,28
域值,日數計數器,75,調查:(日數計數器::75)>=(10),Time::day,数字,75,—,✅ 引擎,3
域值,日數計數器,76,調查:(日數計數器::76)>=(5),Time::day,数字,76,—,✅ 引擎,4
域值,日數計數器,77,更新:(日數計數器::77)(0),Time::day,数字,77,—,✅ 引擎,15
域值,日數計數器,78,更新:(日數計數器::78)(0),Time::day,数字,78,—,✅ 引擎,17
域值,日數計數器,79,更新:(日數計數器::79)(3145728),Time::day,数字,79,—,✅ 引擎,6
域值,日數計數器,8,更新:(日數計數器::8)(90),Time::day,数字,8,—,✅ 引擎,32
域值,日數計數器,80,調查:(日數計數器::80)>=(20),Time::day,数字,80,—,✅ 引擎,3
域值,日數計數器,81,更新:(日數計數器::81)(3145728),Time::day,数字,81,—,✅ 引擎,2
域值,日數計數器,89,更新:(日數計數器::89)(0),Time::day,数字,89,—,✅ 引擎,13
域值,日數計數器,9,調查:(日數計數器::9)>=(1800),Time::day,数字,9,—,✅ 引擎,2
域值,日數計數器,90,更新:(日數計數器::90)(0),Time::day,数字,90,—,✅ 引擎,3
域值,日數計數器,92,更新:(日數計數器::92)(0),Time::day,数字,92,—,✅ 引擎,4
域值,日數計數器,93,更新:(日數計數器::93)(0),Time::day,数字,93,—,✅ 引擎,4
域值,日數計數器,94,調查:(日數計數器::94)>=(360),Time::day,数字,94,—,✅ 引擎,2
域值,日數計數器,95,更新:(日數計數器::95)(0),Time::day,数字,95,—,✅ 引擎,11
域值,日數計數器,96,調查:(日數計數器::96)>=(180),Time::day,数字,96,—,✅ 引擎,7
域值,流派,流派Ａ,代入流派Ａ:(流派::主人公流派),Ctx::school_A,对象:流派,流派Ａ,—,✅ 引擎,4
域值,流派,流派Ｂ,"容器選擇:(流派Ｂ,先頭)",Ctx::school_B,对象:流派,流派Ｂ,—,✅ 引擎,3
域值,流派,無效,調查:(人物::主人公.劍術流派)!=(流派::無效),null,空,無效,—,✅ 引擎,7
域值,海賊衆,海賊衆Ａ,調查:(海賊衆::海賊衆Ａ)==(海賊衆::熊野水軍),Ctx::pirate_A,对象:组织,海賊衆Ａ,—,✅ 引擎,208
域值,海賊衆,海賊衆Ｂ,調查:(人物::安宅信康.所屬海賊衆)==(海賊衆::海賊衆Ｂ),Ctx::pirate_B,对象:组织,海賊衆Ｂ,—,✅ 引擎,71
域值,海賊衆,海賊衆Ｃ,調查:(人物::主人公.所屬海賊衆)!=(海賊衆::海賊衆Ｃ),Ctx::pirate_C,对象:组织,海賊衆Ｃ,—,✅ 引擎,40
域值,海賊衆,海賊衆Ｄ,"容器選擇:(海賊衆Ｄ,先頭)",Ctx::pirate_D,对象:组织,海賊衆Ｄ,—,✅ 引擎,5
域值,海賊衆,無效,更新:(人物::人物Ｂ.所屬海賊衆)(海賊衆::無效),null,空,無效,—,✅ 引擎,3
域值,物品,無效,調查:(人物::主人公.装備武器)!=(物品::無效),null,空,無效,—,✅ 引擎,2
域值,物品,物品Ａ,調查:(人物::主人公.装備武器)==(物品::物品Ａ),Ctx::item_A,对象:物品,物品Ａ,—,✅ 引擎,74
域值,物品,物品Ｂ,調查:(物品::物品Ｂ)==(物品::松風),Ctx::item_B,对象:物品,物品Ｂ,—,✅ 引擎,18
域值,物品類型,武器,調查:(物品::物品Ａ.物品類型)==(物品類型::武器),ItemType::tk5_u44a3d9,枚举:物品類型,武器,—,✅ 引擎,2
域值,物品類型,茶器,調查:(物品::物品Ａ.物品類型)==(物品類型::茶器),ItemType::tk5_u792485,枚举:物品類型,茶器,—,✅ 引擎,1
域值,狀況,24,調查:(狀況::24)==(戰鬥結束種類::終結),Variable::last_battle_result,数字,24,—,✅ 引擎,7
域值,狀況,36,調查:(狀況::36)!=(真偽::真),Variable::tk5_u19ca14,布尔,36,—,✅ 引擎,2
域值,狀況,8,調查:(狀況::8)==(事件主命::半兵衛勧誘),Variable::tk5_uc9f0f8,枚举:事件主命,8,—,✅ 引擎,12
域值,狀況,劇本,調查:(狀況::劇本)==(2),Variable::scenario,数字,劇本,—,✅ 引擎,553
域值,狀況,場面,調查:(狀況::場面)==(場面::自宅),Variable::scene,对象:设施,場面,—,✅ 引擎,11
域值,狀況,天氣,更新:(狀況::天氣)(天氣::雲),Variable::tk5_uac276f,枚举:天氣,天氣,—,✅ 引擎,47
域值,狀況,年,調查:(狀況::年)>=(1598),Time::year,数字,年,—,✅ 引擎,603
域值,狀況,戰爭禁止日數,更新:(狀況::戰爭禁止日數)(90),Variable::war_ban_days,数字,戰爭禁止日數,—,✅ 引擎,211
域值,狀況,日,調查:(狀況::日)>(20),Time::day,数字,日,—,✅ 引擎,65
域值,狀況,月,調查:(狀況::月)>=(10),Time::month,数字,月,—,✅ 引擎,287
域值,狀況,空閒大名家數,調查:(狀況::空閒大名家數)>=(1),Variable::idle_clans,数字,空閒大名家數,—,✅ 引擎,40
域值,狀況,評定期間標誌,調查:(狀況::評定期間標誌)==(真偽::偽),Time::assessment_flag,布尔,評定期間標誌,—,✅ 引擎,43
域值,狀況,評定期限結束標誌,調查:(狀況::評定期限結束標誌)==(真偽::偽),Variable::tk5_u59963a,布尔,評定期限結束標誌,—,✅ 引擎,9
域值,狀況,遊戲經過日數,調查:(狀況::遊戲經過日數)>=(360),Variable::tk5_u37122e,数字,遊戲經過日數,—,✅ 引擎,42
域值,町,町Ａ,調查:(町::町Ａ)==(町::京),Ctx::town_A,对象:据点,町Ａ,—,✅ 引擎,19
域值,真偽,偽,更新:(人物::柳生石舟齋.卡持有(卡::無刀取))(真偽::偽),false,布尔,偽,—,✅ 引擎,677
域值,真偽,真,更新:(人物::豐臣秀吉.卡持有(卡::千成瓢箪))(真偽::真),true,布尔,真,—,✅ 引擎,709
域值,砦,砦Ａ,調查:(砦::砦Ａ)==(砦::三島),Ctx::fort_A,对象:据点,砦Ａ,—,✅ 引擎,93
域值,砦,砦Ｂ,調查:(據點::發生據點)==(砦::砦Ｂ),Ctx::fort_B,对象:据点,砦Ｂ,—,✅ 引擎,23
域值,砦,砦Ｃ,代入砦Ｃ:(海賊衆::海賊衆Ｃ.本據),Ctx::fort_C,对象:据点,砦Ｃ,—,✅ 引擎,60
域值,砦,砦Ｅ,調查:(人物::人物Ｅ.所屬據點)==(砦::砦Ｅ),Ctx::fort_E,对象:据点,砦Ｅ,—,✅ 引擎,3
域值,變量,參考值,調查:(變量::參考值)>=(80),Variable::tk5_ufe3233,数字,參考值,—,✅ 引擎,45
域值,變量,容器記錄數,調查:(變量::容器記錄數)>(0),Variable::tk5_u3e8e81,数字,容器記錄數,—,✅ 引擎,465
域值,變量,Ｒｎｄ,代入ｒ:(變量::Ｒｎｄ)%(11),Variable::Rnd,数字/字符串/对象,Ｒｎｄ,—,✅ 引擎,11
域值,變量,Ｒｎｄ１００,調查:(變量::Ｒｎｄ１００)<=(40),Variable::Rnd100,数字,Ｒｎｄ１００,—,✅ 引擎,63
域值,變量,ａ,調查:(變量::ａ)==(0),Ctx::var_a,数字,ａ,—,✅ 引擎,424
域值,變量,ｂ,調查:(變量::ｂ)>(0),Ctx::var_b,数字/字符串/对象,ｂ,—,✅ 引擎,215
域值,變量,ｃ,代入ｃ:(變量::ｃ)*(10),Ctx::var_c,数字,ｃ,—,✅ 引擎,153
域值,變量,ｄ,代入ｄ:(變量::ｄ)-(1496),Ctx::var_d,数字,ｄ,—,✅ 引擎,153
域值,變量,ｅ,調查:(變量::ｅ)==(0),Ctx::var_e,数字,ｅ,—,✅ 引擎,54
域值,變量,ｆ,調查:(變量::ｆ)==(1),Ctx::var_f,数字,ｆ,—,✅ 引擎,25
域值,變量,ｇ,代入ａ:(變量::ａ)+(變量::ｇ),Ctx::var_g,数字,ｇ,—,✅ 引擎,37
域值,變量,ｈ,代入ａ:(變量::ａ)+(變量::ｈ),Ctx::var_h,数字/字符串/对象,ｈ,—,✅ 引擎,36
域值,變量,ｉ,代入ａ:(變量::ａ)+(變量::ｉ),Ctx::var_i,数字,ｉ,—,✅ 引擎,45
域值,變量,ｊ,代入ａ:(變量::ａ)+(變量::ｊ),Ctx::var_j,数字/对象,ｊ,—,✅ 引擎,6
域值,變量,ｋ,代入ａ:(變量::ａ)+(變量::ｋ),Ctx::var_k,数字/字符串/对象,ｋ,—,✅ 引擎,8
域值,變量,ｌ,調查:(變量::ｍ)>(變量::ｌ),Ctx::var_l,数字/字符串/对象,ｌ,—,✅ 引擎,6
域值,變量,ｍ,調查:(變量::ｍ)>=(10000),Ctx::var_m,数字,ｍ,—,✅ 引擎,27
域值,變量,ｎ,調查:(變量::ｎ)==(0),Ctx::var_n,数字,ｎ,—,✅ 引擎,15
域值,變量,ｏ,調查:(變量::ｏ)<=(3),Ctx::var_o,数字,ｏ,—,✅ 引擎,17
域值,變量,ｐ,調查:(變量::ｐ)==(1),Ctx::var_p,数字,ｐ,—,✅ 引擎,15
域值,變量,ｒ,代入ａ:(變量::ｄ)-(變量::ｒ),Ctx::var_r,数字,ｒ,—,✅ 引擎,41
域值,變量,ｔ,調查:(變量::ｔ)<(100),Ctx::var_t,数字,ｔ,—,✅ 引擎,142
域值,變量,ｕ,調查:(變量::ｕ)==(1),Ctx::var_u,数字,ｕ,—,✅ 引擎,8
域值,變量,ｖ,調查:(變量::ｖ)==(0),Ctx::var_v,数字,ｖ,—,✅ 引擎,3
域值,變量,ｗ,調查:(變量::ｗ)==(1),Ctx::var_w,数字,ｗ,—,✅ 引擎,21
域值,變量,ｘ,調查:(變量::ｘ)==(1),Ctx::var_x,数字,ｘ,—,✅ 引擎,20
域值,變量,ｙ,調查:(變量::ｙ)==(0),Ctx::var_y,数字,ｙ,—,✅ 引擎,16
域值,變量,ｚ,調查:(變量::ｚ)==(1),Ctx::var_z,数字,ｚ,—,✅ 引擎,34
域值,身份,上忍,調查:(人物::主人公.身份)==(身份::上忍),ninja_high,枚举:身份（带序：17 身份链）,上忍,—,🔴 需新加（17 身份系统）,35
域值,身份,下忍,調查:(人物::主人公.身份)==(身份::下忍),ninja_low,枚举:身份（带序：17 身份链）,下忍,—,🔴 需新加（17 身份系统）,25
域值,身份,中忍,調查:(人物::主人公.身份)==(身份::中忍),ninja_mid,枚举:身份（带序：17 身份链）,中忍,—,🔴 需新加（17 身份系统）,28
域值,身份,侍大將,調查:(人物::主人公.身份)==(身份::侍大將),samurai_captain,枚举:身份（带序：17 身份链）,侍大將,—,🔴 需新加（17 身份系统）,49
域值,身份,元締,場合分歧:(身份::元締){//size=196(c4),overseer,枚举:身份（带序：17 身份链）,元締,—,🔴 需新加（17 身份系统）,50
域值,身份,國主,調查:(人物::主人公.身份)==(身份::國主),province_lord,枚举:身份（带序：17 身份链）,國主,—,🔴 需新加（17 身份系统）,230
域值,身份,城主,調查:(人物::主人公.身份)==(身份::城主),city_lord,枚举:身份（带序：17 身份链）,城主,—,🔴 需新加（17 身份系统）,388
域值,身份,大名,調查:(人物::主人公.身份)==(身份::大名),daimyo,枚举:身份（带序：17 身份链）,大名,—,🔴 需新加（17 身份系统）,426
域值,身份,大老闆,場合分歧:(身份::大老闆){//size=432(1b0),merchant_owner,枚举:身份（带序：17 身份链）,大老闆,—,🔴 需新加（17 身份系统）,63
域值,身份,姑娘,更新:(人物::人物Ｂ.身份)(身份::姑娘),girl,枚举:身份（带序：17 身份链）,姑娘,—,🔴 需新加（17 身份系统）,3
域值,身份,家老,調查:(人物::主人公.身份)==(身份::家老),elder,枚举:身份（带序：17 身份链）,家老,—,🔴 需新加（17 身份系统）,132
域值,身份,師範,更新:(人物::柳生石舟齋.身份)(身份::師範),sword_master,枚举:身份（带序：17 身份链）,師範,—,🔴 需新加（17 身份系统）,77
域值,身份,師範代,更新:(人物::小野善鬼.身份)(身份::師範代),sword_deputy,枚举:身份（带序：17 身份链）,師範代,—,🔴 需新加（17 身份系统）,12
域值,身份,手代,調查:(人物::主人公.身份)==(身份::手代),clerk,枚举:身份（带序：17 身份链）,手代,—,🔴 需新加（17 身份系统）,29
域值,身份,支配人,場合分歧:(身份::支配人){//size=172(ac),manager,枚举:身份（带序：17 身份链）,支配人,—,🔴 需新加（17 身份系统）,28
